时间,项目名称,详情链接,项目金额
2018/4/4,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99396.htm,800000
2018/4/4,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99398.htm,1200000
2019/3/18,上海市生态环境局2019年度第五批科研项目招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2019/03/101768.htm,1498000
2018/3/20,上海市环境保护局2018年本市城乡中小河道综合整治水质跟踪监测采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/03/98594.htm,2995000
2018/9/12,上海市环境保护局排污许可证企业污染源监督下增补监测（宝钢）项目的成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/09/100403.htm,225000
2018/4/4,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99403.htm,1800000
2016/6/2,上海市环境保护局2016年度科研项目（第四批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/06/92914.htm,680000
2016/6/2,上海市环境保护局2016年度科研项目（第三批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/06/92913.htm,1800000
2016/6/2,上海市环境保护局2016年度科研项目（第一批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/06/92911.htm,2130000
2016/6/1,上海市环境保护局2016年度科研项目（第二批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/06/92912.htm,2031500
2018/5/11,上海市环境保护局总量控制处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/05/99267.htm,3608000
2018/9/12,上海市环境保护局排污许可证企业污染源监督性增补监测（上海石化）项目的成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/09/100402.htm,1170000
2018/4/4,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99406.htm,1500000
2018/5/11,上海市环境保护局辐射安全管理处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/05/99201.htm,1300000
2018/9/12,上海市环境保护局排污许可证企业污染源监督性增补监测（高桥石化）项目的成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/09/100404.htm,830000
2018/5/7,上海市环境保护局工业企业及市政场地土壤污染防治业务2017年度考核评估采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/07/99713.htm,498000
2016/8/31,上海市环境保护局水环境和自然生态保护处区县水源地生态补偿工作执行情况及效益考核评估单一来源采购项目的成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/09/93732.htm,200000
2016/8/17,上海市环境保护局地表水环境达标、区划及细则制定招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93566.htm,3400000
2016/8/17,上海市环境保护局制定上海市清洁水行动计划区县考核细则和实施情况评估方案招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93565.htm,400000
2018/4/4,上海市环境保护局总量控制处污普重点污染源产排污系数测算采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98832.htm,4300000
2018/4/4,上海市环境保护局总量控制处污普重点污染物源谱测试采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98833.htm,5790000
2018/8/23,上海市环境保护局政策法规处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/10/100570.htm,380000
2018/4/4,上海市环境保护局总量控制处污普市管企业专项调查采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98834.htm,3690000
2018/4/4,上海市环境保护局总量控制处污普特征污染物专项调查采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98835.htm,5471330
2018/4/27,上海市环境保护局水环境和自然生态保护处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/09/100486.htm,4000000
2016/8/11,上海市环境保护局上海市水生态环境功能区划招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93517.htm,650000
2017/5/12,上海市环境保护局2017年度第四批科研项目招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/07/96521.htm,795000
2018/7/11,上海市环境保护局水环境和自然生态保护处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/07/99715.htm,1000000
2016/8/11,上海市环境保护局水源保护区区划及管理要求更新研究招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93516.htm,1000000
2018/4/2,上海市环境保护局总量控制处普查质量抽查与评估采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98761.htm,3470000
2018/6/29,上海市环境保护局水环境和自然生态保护处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/07/99657.htm,2248000
2016/8/4,上海市环境保护局2016年度科研项目（第六批）单一来源采购项目的成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93410.htm,1150000
2019/3/1,上海市生态环境局综合规划处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2019/03/101684.htm,800000
2018/4/2,上海市环境保护局总量控制处污普大气污染源专项调查采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98762.htm,1906000
2018/6/29,上海市环境保护局污染防治处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/07/99658.htm,300000
2016/8/4,上海市环境保护局2016年度科研项目（第五批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93409.htm,563000
2018/4/2,上海市环境保护局总量控制处污普辐射污染源专项调查采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98763.htm,480000
2018/6/26,上海市环境保护局辐射安全管理处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/07/99693.htm,299200
2018/4/2,上海市环境保护局总量控制处污普水污染源专项调查采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98764.htm,2900000
2018/12/26,上海市生态环境局监测处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/12/101142.htm,2674000
2018/4/2,上海市环境保护局总量控制处污普移动污染源专项调查采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98765.htm,3624000
2018/6/12,上海市环境保护局污染地块名录建立与土壤治理修复及修复效果第三方评估采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99574.htm,2800000
2017/4/28,上海市环境保护局2017年市级重点整治地块的生态环境综合治理环境成效评估招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/05/95973.htm,4850000
2018/12/26,上海市生态环境局监测处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/12/101144.htm,3895000
2017/12/29,上海市环境保护局2018分区评价点运维招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/01/97862.htm,8034060
2017/12/28,上海市环境保护局总量控制处2017年工作项目中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/12/97821.htm,4032500
2018/3/27,上海市环境保护局污染防治处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/03/98694.htm,1780000
2018/4/13,上海市环境保护局综合规划处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/07/99710.htm,600000
2017/12/6,上海市环境保护局总量控制处2017年工作项目中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/12/97805.htm,52781944
2018/3/20,上海市环境保护局水环境和自然生态保护处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/03/98598.htm,648000
2017/11/24,上海市环境保护局近岸海域环境质量监测项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/11/97563.htm,1879577
2018/5/21,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99399.htm,1500000
2017/11/20,成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/11/97507.htm,3000000
2018/5/21,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99412.htm,1000000
2017/4/10,上海市环境保护局2017年度科研项目（第二批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/04/95826.htm,1348000
2019/3/21,上海市生态环境局2019年度第一批科研项目招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2019/03/101760.htm,5100000
2018/5/15,上海市环境保护局总量控制处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/05/99242.htm,2296000
2017/4/1,上海市环境保护局2017年度科研项目（第三批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/04/95830.htm,1875000
2019/3/21,上海市生态环境局2019年度第二批科研项目招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2019/03/101765.htm,1700000
2019/3/21,上海市生态环境局2019年度第三批科研项目招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2019/03/101766.htm,1500000
2017/4/1,上海市环境保护局2017年度科研项目（第一批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/04/95824.htm,1750000
2019/3/18,上海市生态环境局2019年度第四批科研项目招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2019/03/101767.htm,1747400
2016/4/11,上海国际招标有限公司关于上海市环境保护局水环境和自然生态保护处2016年第二批工作课题招标项目中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/04/92222.htm,4900000
2018/3/20,上海市环境保护局水环境和自然生态保护处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/03/98597.htm,5000000
2018/3/20,上海市环境保护局水环境和自然生态保护处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/03/98596.htm,1800000
2018/3/20,上海市环境保护局城乡中小河道周边工业企业整治第三方巡查采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/03/98595.htm,398000
2018/4/10,上海市环境保护局2015至2017年度五违四必生态环境综合整治环境成效跟踪评估及长效管理采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98869.htm,2800000
2017/11/13,成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/11/97508.htm,8874950
2018/4/10,上海市环境保护局从业单位污染场地治理项目调查评估及修复行为合规性2017年度抽查评估采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98870.htm,1995000
2017/11/7,成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/11/97506.htm,11681700
2016/3/30,上海市环境保护局上海市排污许可证核发体系与配套制度建立招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/03/92105.htm,700
2018/4/4,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99390.htm,2330000
2017/1/24,上海市环境保护局2016年17个市级重点整治地块的生态环境综合治理环境成效评估招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/01/95161.htm,4860000
2016/3/30,上海市环境保护局水环境和自然生态保护处2016年工作课题招标项目中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/03/92104.htm,602
2017/1/23,上海市环境保护局大气污染物重点排放企业2017年减排工作持续推进与效益评估招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/01/95128.htm,1200000
2016/10/13,上海市环境保护局专项应急预案编制及应急手册更新招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/10/93960.htm,250000
